v1	V(n001)	I(D1)	I(V1)
Step Information: Temp=27  (Run: 1/5)
8.100000000000001e-001	8.100000e-001	7.407452e-001	-7.407452e-001
8.200000000000001e-001	8.200000e-001	1.010949e+000	-1.010949e+000
8.300000000000001e-001	8.300000e-001	1.379715e+000	-1.379715e+000
8.400000000000001e-001	8.400000e-001	1.882997e+000	-1.882997e+000
8.500000000000001e-001	8.500000e-001	2.569862e+000	-2.569862e+000
8.600000000000001e-001	8.600000e-001	3.507277e+000	-3.507277e+000
8.700000000000001e-001	8.700000e-001	4.786635e+000	-4.786635e+000
8.800000000000001e-001	8.800000e-001	6.532668e+000	-6.532668e+000
8.900000000000001e-001	8.900000e-001	8.915605e+000	-8.915605e+000
9.000000000000001e-001	9.000000e-001	1.216777e+001	-1.216777e+001
9.100000000000001e-001	9.100000e-001	1.660624e+001	-1.660624e+001
9.200000000000002e-001	9.200000e-001	2.266374e+001	-2.266374e+001
9.300000000000002e-001	9.300000e-001	3.093084e+001	-3.093084e+001
9.400000000000002e-001	9.400000e-001	4.221356e+001	-4.221356e+001
9.500000000000002e-001	9.500000e-001	5.761190e+001	-5.761190e+001
9.600000000000002e-001	9.600000e-001	7.862714e+001	-7.862714e+001
9.700000000000002e-001	9.700000e-001	1.073082e+002	-1.073082e+002
9.800000000000002e-001	9.800000e-001	1.464512e+002	-1.464512e+002
9.900000000000002e-001	9.900000e-001	1.998726e+002	-1.998726e+002
1.000000000000000e+000	1.000000e+000	2.727806e+002	-2.727806e+002
